sample_id,task,A,B,tau,reverse_tau,forward_score,reverse_score,delta
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,L0,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,L6,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,L12,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,L18,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,L24,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,ALL,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L0,L6,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L0,L12,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L0,L18,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L0,L24,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L0,ALL,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L6,L12,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L6,L18,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L6,L24,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L6,ALL,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L12,L18,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L12,L24,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L12,ALL,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L18,L24,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L18,ALL,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L24,ALL,1,14,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,L0,2,13,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,L6,2,13,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,L12,2,13,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,L18,2,13,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,L24,2,13,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,ALL,2,13,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L0,L6,2,13,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L0,L12,2,13,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L0,L18,2,13,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L0,L24,2,13,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L0,ALL,2,13,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L6,L12,2,13,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L6,L18,2,13,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L6,L24,2,13,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L6,ALL,2,13,0.6666666666666666,0.6666666666666666,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,L12,L18,2,13,0.6666666666666666,0.6666666666666666,0.0
